Unnamed: 0,Unnamed: 1
INCOME & ALLOCATION,
Annual Gross Salary,
Relationship Budget %,5%
Total Relationship Budget,0
,
CARD SENDING COSTS,
Cards to Send (qty),39
Photo Cards (cost each),2.5
Standard Cards (cost each),1.5
Photo Card Qty,
Standard Card Qty,
Stamps (Forever @ $0.73),0.73
Return Address Labels (roll),15
Total Card Costs,43.47
,
GIFT BUDGET BY TIER,
Tier A ($100+) - Qty,0
Tier A - Budget Each,100
Tier A - Subtotal,0
Tier B ($50-100) - Qty,0
Tier B - Budget Each,75
Tier B - Subtotal,0
Tier C ($25-50) - Qty,0
Tier C - Budget Each,37.5
Tier C - Subtotal,0
Tier D (<$25) - Qty,0
Tier D - Budget Each,20
Tier D - Subtotal,0
Total Gift Budget,0
,
OTHER RELATIONSHIP COSTS,
Hosting/Entertaining,
Travel for Relationships,
Spontaneous Generosity Buffer,
Total Other,0
,
SUMMARY,
Total Planned Spend,43.47
Budget Remaining,0
Budget Utilization %,0
