🎄 CHRISTMAS CARD CIRCUIT DASHBOARD,Unnamed: 1,Unnamed: 2
,,
CONTACT METRICS,,
Total Contacts,39.0,people
Addresses Verified,10.0,ready to print
Addresses Needing Lookup,23.0,⚠️ action needed
Addresses Needing Confirmation,6.0,to verify
,,
RELATIONSHIP BREAKDOWN,,
Family,13.0,
Friends,25.0,
Professional,1.0,
Inner Circle,5.0,
Close,27.0,
,,
2024 CARD STATUS,,
Cards Sent,0.0,
Cards Remaining,39.0,
Response Rate,0.0,
,,
BUDGET STATUS,,
Total Budget,0.0,
Planned Spend,0.0,
Budget Remaining,43.47,
,,
INVENTORY ALERTS,,
Total Inventory Value,0.0,
