Item,Category,Qty On Hand,Reorder Point,Unit Cost,Total Value,Supplier,Last Ordered,Notes
Photo Cards (pack of 25),Cards,,50.0,25,0.0,Shutterfly,,Order by Nov 15
Standard Cards (box of 20),Cards,,40.0,15,0.0,Target,,
Forever Stamps (book of 20),Postage,,60.0,14.6,0.0,USPS,,Price may increase
Return Address Labels (roll),Labels,,2.0,15,0.0,Brother,,DK-2205 continuous
"Address Labels 2.4"" B/R",Labels,,2.0,25,0.0,Brother,,For QL-820NWB
Gift Wrap - Roll,Wrapping,,5.0,8,0.0,Target,,
Gift Bags - Small,Wrapping,,10.0,1.5,0.0,Dollar Tree,,
Gift Bags - Medium,Wrapping,,10.0,2,0.0,Dollar Tree,,
Gift Bags - Large,Wrapping,,5.0,3,0.0,Dollar Tree,,
Tissue Paper (pack),Wrapping,,3.0,3,0.0,Dollar Tree,,
Ribbon (spool),Wrapping,,3.0,5,0.0,Michaels,,
Gift Tags (pack of 50),Wrapping,,100.0,5,0.0,Amazon,,
Thank You Cards (box),Cards,,20.0,12,0.0,Target,,For post-holiday
Envelopes (A7),Cards,,50.0,10,0.0,Amazon,,For photo cards
,,,,,,,,
,,,,Total Inventory Value:,0.0,,,
